5V_POW	44.45	30.35	90.00	Yellow	CHIPLED_0805
C10	2.54	76.20	180.00	4.7nf	0603
C11	38.35	19.05	180.00	10uf	0805
C12	38.35	21.59	180.00	10uf	0805
C13	38.35	24.13	180.00	10uf	0805
C14	84.33	12.07	90.00	10uf	0805
C15	105.41	43.18	180.00	4.7nf	0603
C16	130.81	99.06	90.00	0.1uF	0603
C17	107.95	67.31	90.00	4.7nf	0603
C18	77.47	123.19	90.00	100uF	0603
C19	128.27	99.06	90.00	4.7nf	0603
C20	81.28	123.19	90.00	100uF	0603
C21	85.09	123.19	90.00	100uF	0603
C22	88.90	123.19	90.00	100uF	0603
C23	20.32	63.50	0.00	0.1uF	0603
C25	20.32	78.74	0.00	0.1uF	0603
C26	121.29	103.00	0.00	100uF	0603
C3	82.30	17.27	270.00	0.1uF	0603
C4	105.41	40.64	180.00	0.1uF	0603
C5	119.38	-2.54	0.00	4.7nf	0603
C7	38.35	16.51	180.00	10uf	0805
D1	33.91	20.57	270.00	SMAJ58A	SMA
I$1	39.37	10.29	0.00	PA5449.473NLT	IND_TYS4020470M-10
R1	72.39	21.72	270.00	900k	0603
R10	20.32	82.55	180.00	50R	0603
R2	76.20	23.37	270.00	100k	0603
R3	76.20	27.94	270.00	0R	0603
R4	44.45	32.38	0.00	4k	0603
R9	20.32	59.69	180.00	50R	0603
U1	77.34	15.75	0.00	MCP6L91T-E/OT	SOT95P270X145-5N
U2	48.66	20.32	0.00	LM2576D2TR4-5G	D2PAK-5
